frame.time_epoch	frame.len	eth.src	eth.dst	ip.src	ip.dst	tcp.srcport	tcp.dstport	udp.srcport	udp.dstport	icmp.type	icmp.code	arp.opcode	arp.src.hw_mac	arp.src.proto_ipv4	arp.dst.hw_mac	arp.dst.proto_ipv4	ipv6.src	ipv6.dst
1706072404.0960617	123	f0:7f:06:13:7f:7c	f0:7c:c7:11:70:54	150.162.249.131	144.83.74.247			4500.0	53.0									
1706072404.247689	110	f0:7f:06:13:7f:7c	10:0e:7e:cb:53:f0	150.162.249.131	144.83.74.247			53.0	53.0									
1706072403.873463	3974	f0:7f:06:13:7f:7c	f0:7f:06:13:7f:7c	150.162.249.131	144.83.74.247	443.0	443.0											
1706072402.4535534	111	10:0e:7e:cb:53:f0	f0:7f:06:13:7f:7c	150.162.249.131	144.83.74.247			53.0	53.0									
1706072400.251909	155	70:e4:22:43:97:8b	f0:7f:06:13:7f:7c	150.162.249.131	144.83.74.247			53.0	4500.0									
1706072400.3544662	110	10:0e:7e:cb:53:f0	f0:7f:06:13:7f:7c	150.162.249.131	144.83.74.247			53.0	4500.0									
1706072403.60051	107	f0:7f:06:13:7f:7c	d0:81:c5:8c:96:71	150.162.249.131	202.4.51.119			53.0	53.0									
1706072402.362343	159	10:0e:7e:cb:53:f0	f0:7f:06:13:7f:7c	147.92.211.185	202.4.51.119			53.0	53.0									
1706072401.8842576	137	f0:7f:06:13:7f:7c	10:0e:7e:cb:53:f0	150.162.249.131	144.83.74.247			53.0	4500.0									
1706072405.3540933	123	f0:7f:06:13:7f:7c	f0:7f:06:13:7f:7c	150.162.249.131	202.4.51.119			4500.0	53.0									
